,job_id,category,machine,start_time,end_time,flow_time,arrival_time,processing_time
0,0,2,1,1,6,0,1,5
1,1,0,3,31,61,30,1,30
2,2,2,1,6,11,5,1,5
3,3,2,5,16,21,15,1,5
4,4,0,7,6,36,5,1,30
5,5,0,2,31,61,30,1,30
6,6,2,4,1,6,0,1,5
7,7,1,5,1,16,0,1,15
8,8,2,4,11,16,10,1,5
9,9,2,4,6,11,5,1,5
10,10,2,7,1,6,0,1,5
11,11,2,6,1,6,0,1,5
12,12,0,4,16,46,15,1,30
13,13,2,5,21,26,20,1,5
14,14,1,2,16,31,15,1,15
15,15,0,3,1,31,0,1,30
16,16,1,2,1,16,0,1,15
17,17,1,1,11,26,10,1,15
18,18,1,0,16,31,15,1,15
19,19,1,0,1,16,0,1,15
20,20,0,5,60,90,15,45,30
21,21,0,4,51,81,6,45,30
22,22,1,7,45,60,0,45,15
23,23,1,3,61,76,16,45,15
24,24,0,6,70,100,25,45,30
25,25,0,1,45,75,0,45,30
26,26,0,2,61,91,16,45,30
27,27,2,6,45,50,0,45,5
28,28,2,6,50,55,5,45,5
29,29,2,4,46,51,1,45,5
30,30,1,6,55,70,10,45,15
31,31,2,0,50,55,5,45,5
32,32,1,1,75,90,30,45,15
33,33,1,7,65,80,20,45,15
34,34,2,7,60,65,15,45,5
35,35,1,5,45,60,0,45,15
36,36,2,0,55,60,10,45,5
37,37,2,0,45,50,0,45,5
38,38,0,0,65,95,20,45,30
39,39,2,0,60,65,15,45,5
40,40,0,6,105,135,15,90,30
41,41,2,5,90,95,0,90,5
42,42,2,6,100,105,10,90,5
43,43,0,2,91,121,1,90,30
44,44,0,3,90,120,0,90,30
45,45,2,5,95,100,5,90,5
46,46,1,7,120,135,30,90,15
47,47,0,5,105,135,15,90,30
48,48,1,1,105,120,15,90,15
49,49,1,1,90,105,0,90,15
50,50,1,1,125,140,35,90,15
51,51,0,7,90,120,0,90,30
52,52,1,4,90,105,0,90,15
53,53,0,4,105,135,15,90,30
54,54,1,2,121,136,31,90,15
55,55,2,5,100,105,10,90,5
56,56,2,0,100,105,10,90,5
57,57,0,0,105,135,15,90,30
58,58,2,0,95,100,5,90,5
59,59,2,1,120,125,30,90,5
60,60,1,7,135,150,0,135,15
61,61,0,5,165,195,30,135,30
62,62,1,6,155,170,20,135,15
63,63,1,2,136,151,1,135,15
64,64,1,4,135,150,0,135,15
65,65,1,5,135,150,0,135,15
66,66,1,5,150,165,15,135,15
67,67,1,2,151,166,16,135,15
68,68,1,4,150,165,15,135,15
69,69,0,1,140,170,5,135,30
70,70,2,6,135,140,0,135,5
71,71,1,6,140,155,5,135,15
72,72,1,7,150,165,15,135,15
73,73,1,0,170,185,35,135,15
74,74,1,3,150,165,15,135,15
75,75,1,0,155,170,20,135,15
76,76,1,0,140,155,5,135,15
77,77,2,0,135,140,0,135,5
78,78,2,3,165,170,30,135,5
79,79,1,3,135,150,0,135,15
80,80,2,0,200,205,30,170,5
81,81,0,0,205,235,35,170,30
82,82,1,0,185,200,15,170,15
83,83,0,4,200,230,30,170,30
84,84,0,2,205,235,35,170,30
85,85,1,6,185,200,15,170,15
86,86,2,3,200,205,30,170,5
87,87,0,4,170,200,0,170,30
88,88,1,6,170,185,0,170,15
89,89,0,1,201,231,31,170,30
90,90,0,1,171,201,1,170,30
91,91,0,6,200,230,30,170,30
92,92,0,3,170,200,0,170,30
93,93,2,2,170,175,0,170,5
94,94,0,5,200,230,30,170,30
95,95,0,2,175,205,5,170,30
96,96,0,7,200,230,30,170,30
97,97,2,5,195,200,25,170,5
98,98,0,7,170,200,0,170,30
99,99,0,3,205,235,35,170,30
