,job_id,category,machine,start_time,end_time,flow_time,arrival_time,processing_time
0,0,2,7,16,31,15,1,15
1,1,0,5,1,31,0,1,30
2,2,2,1,16,31,15,1,15
3,3,2,6,46,61,45,1,15
4,4,0,4,1,31,0,1,30
5,5,0,2,16,46,15,1,30
6,6,2,3,1,16,0,1,15
7,7,1,7,1,16,0,1,15
8,8,2,0,31,46,30,1,15
9,9,2,3,31,46,30,1,15
10,10,2,1,1,16,0,1,15
11,11,2,2,1,16,0,1,15
12,12,0,6,1,31,0,1,30
13,13,2,7,31,46,30,1,15
14,14,1,6,31,46,30,1,15
15,15,0,0,1,31,0,1,30
16,16,1,5,31,46,30,1,15
17,17,1,1,31,46,30,1,15
18,18,1,3,16,31,15,1,15
19,19,1,4,31,46,30,1,15
20,20,0,1,46,76,1,45,30
21,21,0,0,46,76,1,45,30
22,22,1,7,61,76,16,45,15
23,23,1,1,76,91,31,45,15
24,24,0,2,46,76,1,45,30
25,25,0,6,61,91,16,45,30
26,26,0,3,91,121,46,45,30
27,27,2,5,76,91,31,45,15
28,28,2,3,61,76,16,45,15
29,29,2,3,46,61,1,45,15
30,30,1,2,76,91,31,45,15
31,31,2,7,46,61,1,45,15
32,32,1,7,91,106,46,45,15
33,33,1,0,76,91,31,45,15
34,34,2,5,61,76,16,45,15
35,35,1,3,76,91,31,45,15
36,36,2,4,76,91,31,45,15
37,37,2,5,46,61,1,45,15
38,38,0,4,46,76,1,45,30
39,39,2,7,76,91,31,45,15
40,40,0,4,121,151,31,90,30
41,41,2,6,91,106,1,90,15
42,42,2,2,121,136,31,90,15
43,43,0,4,91,121,1,90,30
44,44,0,6,136,166,46,90,30
45,45,2,5,136,151,46,90,15
46,46,1,2,91,106,1,90,15
47,47,0,0,91,121,1,90,30
48,48,1,1,91,106,1,90,15
49,49,1,2,106,121,16,90,15
50,50,1,7,106,121,16,90,15
51,51,0,3,136,166,46,90,30
52,52,1,1,121,136,31,90,15
53,53,0,5,91,121,1,90,30
54,54,1,3,121,136,31,90,15
55,55,2,0,121,136,31,90,15
56,56,2,7,121,136,31,90,15
57,57,0,6,106,136,16,90,30
58,58,2,1,106,121,16,90,15
59,59,2,5,121,136,31,90,15
60,60,1,5,166,181,31,135,15
61,61,0,4,151,181,16,135,30
62,62,1,5,181,196,46,135,15
63,63,1,6,166,181,31,135,15
64,64,1,5,151,166,16,135,15
65,65,1,4,181,196,46,135,15
66,66,1,7,166,181,31,135,15
67,67,1,3,166,181,31,135,15
68,68,1,2,136,151,1,135,15
69,69,0,7,136,166,1,135,30
70,70,2,1,136,151,1,135,15
71,71,1,1,151,166,16,135,15
72,72,1,7,181,196,46,135,15
73,73,1,0,166,181,31,135,15
74,74,1,2,166,181,31,135,15
75,75,1,0,151,166,16,135,15
76,76,1,3,181,196,46,135,15
77,77,2,1,185,200,50,135,15
78,78,2,0,136,151,1,135,15
79,79,1,2,151,166,16,135,15
80,80,2,1,170,185,0,170,15
81,81,0,6,226,256,56,170,30
82,82,1,3,196,211,26,170,15
83,83,0,5,211,241,41,170,30
84,84,0,7,226,256,56,170,30
85,85,1,2,181,196,11,170,15
86,86,2,0,181,196,11,170,15
87,87,0,1,215,245,45,170,30
88,88,1,6,181,196,11,170,15
89,89,0,3,211,241,41,170,30
90,90,0,7,196,226,26,170,30
91,91,0,2,196,226,26,170,30
92,92,0,2,226,256,56,170,30
93,93,2,1,200,215,30,170,15
94,94,0,0,196,226,26,170,30
95,95,0,0,226,256,56,170,30
96,96,0,6,196,226,26,170,30
97,97,2,5,196,211,26,170,15
98,98,0,4,196,226,26,170,30
99,99,0,4,226,256,56,170,30
